,_id,filename,new_difficulty,difficultyrating
161,804882,toby fox - Bonetrousle (YellowManul) [Hard].osu,2.0819033319728963,3.18627
162,453094,Aoi Eir - IGNITE (TV size ver.) (Guy) [Normal].osu,2.035825345539324,2.26611
163,391578,Suzuki Konomi - This game (TV Size) (Sekai-nyan) [P A N's Easy Game].osu,1.0821861411427545,1.71516
164,951401,Dendei - gabe power (HighTec) [Cheesecake's Easy].osu,1.7297449845801984,1.20565
165,546409,Konuko - Toumei Elegy (Awaken) [Regraz's Normal].osu,1.8737270561213504,2.51153
166,665129,yes we cant - wh (Nhawak) [Hard].osu,3.9014797344663674,2.98064
167,846257,Shawn Wasabi - Marble Soda (Len) [Hard].osu,1.0751768951178793,3.27281
168,722238,Roses Epicurean - Yoru no Kodomo tachi (CodeS) [Shiro's Hollow].osu,4.253939384958041,3.96135
169,1588277,TheFatRat ft. Laura Brehm - MAYDAY (Nightcore Mix) (Peter) [hyper's Hyper].osu,3.9733093474734265,4.16237
170,614217,"JOSTARS ~TOMMY, Coda, JIN~ - JoJo Sono Chi no Kioku~end of THE WORLD~ (Atsuro) [Normal].osu",2.1329361701589704,2.3947
171,945107,Dendei - gabe power (HighTec) [Mazziv's Advanced].osu,1.9984079152102887,2.00272
172,1675841,Will Stetson - Despacito ft. R3 Music Box (Sotarks) [NiNo's Insane].osu,3.3482438773026817,4.29648
173,1139717,Brad Breeck - Gravity Falls Theme Song (Alphabet) [Bubblun's Insane].osu,4.247176934783507,4.13017
174,1587911,TheFatRat ft. Laura Brehm - MAYDAY (Nightcore Mix) (Peter) [Normal].osu,2.6527163276941366,2.17248
175,98229,Yousei Teikoku - Kokou no Sousei (Saten-san) [Hard].osu,2.916121900266088,3.36506
176,847863,Feint - Tower Of Heaven (You Are Slaves) (eLy) [Hard].osu,1.7488475835723718,3.30733
177,537630,Knife Party - Give It Up (Shadren) [BM's Hard].osu,2.104251158219307,3.31143
178,520661,Mayama Rika - Liar Mask anime size (Setsurei) [Normal].osu,1.9577336791206363,2.29455
179,490679,Hige Driver join. SELEN - Dadadadadadadadadada (spboxer3) [HARD].osu,4.05374001278309,3.21095
180,340104,Hanatan - Airman ga Taosenai (SOUND HOLIC Ver.) (Natsu) [Hard].osu,2.7735002511066047,3.8037
181,1262271,ClariS - Hitorigoto -TV MIX- (Doormat) [Little's Easy].osu,1.2741378962852017,1.73748
182,1830198,"KDA - POPSTARS (ft. Madison Beer, (G)I-DLE, Jaira Burns) (Nathan) [Foxy's Normal].osu",1.9193254420856642,2.15573
183,1596704,Co shu Nie - asphyxia (TV edit) (Monstrata) [Normal].osu,2.266361085689204,2.11689
184,1059388,Drop - Granat (Left) [Extra].osu,5.353206321490008,5.18477
185,1070687,Gom (HoneyWorks) - Zen Zen Zense (MugiwaraSekai) [Kalibe's Hard].osu,3.214925089376016,3.3886
186,1091249,RADWIMPS - Zen Zen Zense (movie ver.) (Monstrata) [Extra Taki].osu,4.663335769254831,5.47216
187,165725,LiSA - crossing field (TV Size) (CXu) [Normal].osu,2.4055504293463397,2.21331
188,128320,S3RL - Pika Girl (Takuya) [Easy].osu,2.3245786189412274,1.55323
189,557814,Soleily - Renatus (Gamu) [Hard].osu,4.063418230784578,3.46895
190,453358,Rameses B - Flaklypa (-kevincela-) [Insane].osu,5.469120372616656,4.32541
191,269781,Himeringo - Yotsuya-san ni Yoroshiku (RLC) [Flask's Normal].osu,2.109485110966536,2.56579
